dataset,model,precision,recall,f1
ant-1.7,LR,0.392,0.524,0.448
ant-1.7,RF,0.434,0.434,0.434
ant-1.7,XGB,0.3,0.536,0.384
camel-1.6,LR,0.27,0.324,0.295
camel-1.6,RF,0.29,0.191,0.231
camel-1.6,XGB,0.306,0.351,0.327
ivy-2.0,LR,0.237,0.675,0.351
ivy-2.0,RF,0.301,0.55,0.389
ivy-2.0,XGB,0.232,0.65,0.342
jedit-4.3,LR,0.023,0.455,0.044
jedit-4.3,RF,0.032,0.545,0.061
jedit-4.3,XGB,0.028,0.545,0.053
lucene-2.4,LR,0.691,0.507,0.585
lucene-2.4,RF,0.78,0.227,0.351
lucene-2.4,XGB,0.711,0.448,0.55
poi-3.0,LR,0.781,0.772,0.776
poi-3.0,RF,0.675,0.199,0.308
poi-3.0,XGB,0.617,0.338,0.437
synapse-1.2,LR,0.604,0.372,0.46
synapse-1.2,RF,0.606,0.233,0.336
synapse-1.2,XGB,0.479,0.395,0.433
xalan-2.6,LR,0.592,0.657,0.623
xalan-2.6,RF,0.618,0.217,0.321
xalan-2.6,XGB,0.602,0.431,0.502
xerces-1.4,LR,0.868,0.3,0.446
xerces-1.4,RF,0.78,0.105,0.185
xerces-1.4,XGB,0.677,0.245,0.36
velocity-1.6,LR,0.508,0.423,0.462
velocity-1.6,RF,0.464,0.167,0.245
velocity-1.6,XGB,0.5,0.333,0.4
