family,feature,mean_abs_shap
promise-ck,loc,0.41735
promise-ck,npm,0.21223
promise-ck,mfa,0.1762
promise-ck,amc,0.16484
promise-ck,cbm,0.15077
promise-ck,dam,0.14858
promise-ck,rfc,0.13972
promise-ck,cbo,0.1381
promise-ck,lcom3,0.11102
promise-ck,dit,0.10796
promise-ck,ca,0.10513
promise-ck,cam,0.09512
promise-ck,ce,0.0944
promise-ck,avg_cc,0.08783
promise-ck,lcom,0.08483
promise-ck,moa,0.08342
promise-ck,noc,0.04475
promise-ck,max_cc,0.03599
promise-ck,wmc,0.03067
promise-ck,ic,0.01124
aeeem,agewithrespectto_,0.65146
aeeem,linesaddeduntil_,0.49022
aeeem,maxlinesremoveduntil_,0.22684
aeeem,weightedagewithrespectto_,0.20579
aeeem,numberofversionsuntil_,0.20132
aeeem,avgcodechurnuntil_,0.1653
aeeem,codechurnuntil_,0.13925
aeeem,avglinesremoveduntil_,0.13381
aeeem,avglinesaddeduntil_,0.11319
aeeem,maxcodechurnuntil_,0.08273
aeeem,maxlinesaddeduntil_,0.0656
aeeem,linesremoveduntil_,0.05959
aeeem,numberofrefactoringsuntil_,0.05775
aeeem,numberofauthorsuntil_,0.0496
aeeem,numberoffixesuntil_,0.04227
nasa,loc_total,0.84892
nasa,loc_executable,0.16615
nasa,loc_blank,0.13625
nasa,loc_comments,0.13069
nasa,halstead_content,0.12913
nasa,design_complexity,0.11401
nasa,num_operands,0.10779
nasa,halstead_difficulty,0.10769
nasa,num_operators,0.0978
nasa,halstead_effort,0.09418
nasa,halstead_length,0.06598
nasa,num_unique_operators,0.06345
nasa,branch_count,0.05696
nasa,halstead_prog_time,0.05101
nasa,num_unique_operands,0.05101
nasa,halstead_volume,0.05057
nasa,halstead_level,0.04762
nasa,cyclomatic_complexity,0.03658
nasa,essential_complexity,0.03115
nasa,halstead_error_est,0.02547
nasa,loc_code_and_comment,0.02223
